Linux 6.11.0-28-generic (oleg-ananiev-Venus-Series) 	07/01/2025 	_x86_64_	(16 CPU)

05:56:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:56:31 PM  all   17.03    0.01   34.97    0.04    0.00   20.79    0.00    0.00    0.00   27.16
05:56:31 PM    0   39.16    0.00   60.74    0.10    0.00    0.00    0.00    0.00    0.00    0.00
05:56:31 PM    1   25.47    0.00   43.86    0.00    0.00   30.67    0.00    0.00    0.00    0.00
05:56:31 PM    2   26.37    0.00   43.86    0.00    0.00   29.77    0.00    0.00    0.00    0.00
05:56:31 PM    3   26.27    0.00   42.46    0.00    0.00   31.27    0.00    0.00    0.00    0.00
05:56:31 PM    4   12.56    0.11   31.11    0.11    0.00    0.00    0.00    0.00    0.00   56.11
05:56:31 PM    5    6.06    0.10   15.83    0.00    0.00   42.86    0.00    0.00    0.00   35.15
05:56:31 PM    6    7.75    0.00   20.87    0.00    0.00   44.21    0.00    0.00    0.00   27.17
05:56:31 PM    7    7.01    0.00   18.31    0.10    0.00   32.11    0.00    0.00    0.00   42.47
05:56:31 PM    8   17.95    0.00   41.82    0.00    0.00    0.00    0.00    0.00    0.00   40.23
05:56:31 PM    9   15.43    0.00   39.08    0.11    0.00    0.00    0.00    0.00    0.00   45.38
05:56:31 PM   10   14.76    0.00   34.85    0.11    0.00    0.00    0.00    0.00    0.00   50.28
05:56:31 PM   11   12.94    0.00   31.31    0.11    0.00    0.00    0.00    0.00    0.00   55.64
05:56:31 PM   12   10.47    0.00   24.04    0.00    0.00   56.37    0.00    0.00    0.00    9.12
05:56:31 PM   13   19.30    0.00   44.81    0.00    0.00    0.00    0.00    0.00    0.00   35.89
05:56:31 PM   14   18.70    0.00   41.62    0.00    0.00    0.00    0.00    0.00    0.00   39.68
05:56:31 PM   15   10.04    0.00   24.95    0.00    0.00   53.62    0.00    0.00    0.00   11.39

05:56:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:56:41 PM  all   17.72    0.02   34.45    0.01    0.00   20.80    0.00    0.00    0.00   26.99
05:56:41 PM    0   38.70    0.00   61.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:41 PM    1   27.20    0.00   43.60    0.00    0.00   29.20    0.00    0.00    0.00    0.00
05:56:41 PM    2   27.10    0.00   43.40    0.00    0.00   29.50    0.00    0.00    0.00    0.00
05:56:41 PM    3   26.53    0.00   43.44    0.00    0.00   30.03    0.00    0.00    0.00    0.00
05:56:41 PM    4   12.46    0.23   30.58    0.11    0.00    0.00    0.00    0.00    0.00   56.63
05:56:41 PM    5    6.79    0.00   15.84    0.00    0.00   43.21    0.00    0.00    0.00   34.16
05:56:41 PM    6    8.30    0.00   22.45    0.11    0.00   34.89    0.00    0.00    0.00   34.26
05:56:41 PM    7    6.18    0.00   16.95    0.00    0.00   31.45    0.00    0.00    0.00   45.42
05:56:41 PM    8   16.46    0.00   36.55    0.00    0.00   13.05    0.00    0.00    0.00   33.94
05:56:41 PM    9   17.73    0.11   37.84    0.00    0.00    0.00    0.00    0.00    0.00   44.32
05:56:41 PM   10   16.20    0.00   34.42    0.00    0.00    0.00    0.00    0.00    0.00   49.38
05:56:41 PM   11   14.51    0.00   30.80    0.00    0.00    0.00    0.00    0.00    0.00   54.69
05:56:41 PM   12    9.94    0.00   24.90    0.00    0.00   56.59    0.00    0.00    0.00    8.58
05:56:41 PM   13   20.95    0.00   43.19    0.00    0.00    0.00    0.00    0.00    0.00   35.86
05:56:41 PM   14   20.97    0.00   40.32    0.00    0.00    0.00    0.00    0.00    0.00   38.71
05:56:41 PM   15   10.97    0.00   24.24    0.00    0.00   54.02    0.00    0.00    0.00   10.76

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   17.37    0.02   34.71    0.03    0.00   20.79    0.00    0.00    0.00   27.08
Average:       0   38.93    0.00   61.02    0.05    0.00    0.00    0.00    0.00    0.00    0.00
Average:       1   26.34    0.00   43.73    0.00    0.00   29.94    0.00    0.00    0.00    0.00
Average:       2   26.74    0.00   43.63    0.00    0.00   29.64    0.00    0.00    0.00    0.00
Average:       3   26.40    0.00   42.95    0.00    0.00   30.65    0.00    0.00    0.00    0.00
Average:       4   12.51    0.17   30.85    0.11    0.00    0.00    0.00    0.00    0.00   56.37
Average:       5    6.43    0.05   15.84    0.00    0.00   43.03    0.00    0.00    0.00   34.65
Average:       6    8.02    0.00   21.65    0.05    0.00   39.62    0.00    0.00    0.00   30.66
Average:       7    6.60    0.00   17.63    0.05    0.00   31.78    0.00    0.00    0.00   43.93
Average:       8   17.21    0.00   39.18    0.00    0.00    6.53    0.00    0.00    0.00   37.08
Average:       9   16.57    0.06   38.46    0.06    0.00    0.00    0.00    0.00    0.00   44.85
Average:      10   15.47    0.00   34.64    0.06    0.00    0.00    0.00    0.00    0.00   49.83
Average:      11   13.72    0.00   31.06    0.06    0.00    0.00    0.00    0.00    0.00   55.17
Average:      12   10.20    0.00   24.47    0.00    0.00   56.48    0.00    0.00    0.00    8.85
Average:      13   20.11    0.00   44.01    0.00    0.00    0.00    0.00    0.00    0.00   35.87
Average:      14   19.83    0.00   40.97    0.00    0.00    0.00    0.00    0.00    0.00   39.20
Average:      15   10.50    0.00   24.60    0.00    0.00   53.82    0.00    0.00    0.00   11.08
